Sales Summary: Gross Sales Displayed by Device,iPad cellutionz
1/31/2022,$0.00 
2/1/2022,$71.14 
2/2/2022,$59.29 
2/3/2022,$0.00 
2/4/2022,$78.14 
2/5/2022,$0.00 
2/6/2022,$0.00 
2/7/2022,$119.55 
2/8/2022,$0.00 
2/9/2022,$258.72 
2/10/2022,$92.70 
2/11/2022,$311.54 
2/12/2022,$751.34 
2/13/2022,$0.00 
2/14/2022,$742.29 
2/15/2022,$333.10 
2/16/2022,$0.00 
2/17/2022,$267.77 
2/18/2022,$95.93 
2/19/2022,$219.90 
2/20/2022,$0.00 
2/21/2022,$237.88 
2/22/2022,$210.20 
2/23/2022,$15.13 
2/24/2022,$270.97 
2/25/2022,$411.79 
2/26/2022,$369.74 
2/27/2022,$0.00 
2/28/2022,$440.30 
3/1/2022,$146.60 
3/2/2022,$22.63 
3/3/2022,$563.13 
3/4/2022,$509.88 
3/5/2022,$440.32 
3/6/2022,$0.00 
3/7/2022,$98.09 
3/8/2022,$450.59 
3/9/2022,$170.23 
3/10/2022,"$1,266.59 "
3/11/2022,$223.58 
3/12/2022,$490.47 
3/13/2022,$0.00 
3/14/2022,$176.08 
3/15/2022,$133.66 
3/16/2022,$263.26 
3/17/2022,$521.75 
3/18/2022,$562.35 
3/19/2022,$397.86 
3/20/2022,$0.00 
3/21/2022,$150.92 
3/22/2022,$593.21 
3/23/2022,$450.28 
3/24/2022,$461.58 
3/25/2022,$351.39 
3/26/2022,$916.47 
3/27/2022,$0.00 
3/28/2022,$238.49 
3/29/2022,$0.00 
3/30/2022,$486.18 
3/31/2022,$351.42 
4/1/2022,$0.00 
4/2/2022,$81.92 
4/3/2022,$0.00 
4/4/2022,$305.06 
4/5/2022,$259.04 
4/6/2022,$724.38 
4/7/2022,$482.44 
4/8/2022,$251.93 
4/9/2022,$347.10 
4/10/2022,$0.00 
4/11/2022,$590.02 
4/12/2022,$215.59 
4/13/2022,$0.00 
4/14/2022,$109.61 
4/15/2022,$240.65 
4/16/2022,$28.02 
4/17/2022,$0.00 
4/18/2022,$342.70 
4/19/2022,$702.00 
4/20/2022,$121.81 
4/21/2022,$161.69 
4/22/2022,$625.11 
4/23/2022,$332.01 
4/24/2022,$0.00 
