Sales Summary: Gross Sales Displayed by Device,iPad cellutionz
1/1/2020,$0.00 
1/2/2020,$67.70 
1/3/2020,$72.58 
1/4/2020,$59.77 
1/5/2020,$0.00 
1/6/2020,$0.00 
1/7/2020,$266.88 
1/8/2020,$26.69 
1/9/2020,$11.73 
1/10/2020,$194.24 
1/11/2020,$224.15 
1/12/2020,$0.00 
1/13/2020,$195.34 
1/14/2020,$65.42 
1/15/2020,$156.80 
1/16/2020,$42.70 
1/17/2020,$405.65 
1/18/2020,$0.00 
1/19/2020,$0.00 
1/20/2020,$0.00 
1/21/2020,$21.00 
1/22/2020,$33.00 
1/23/2020,$0.00 
1/24/2020,$0.00 
1/25/2020,$0.00 
1/26/2020,$0.00 
1/27/2020,$134.72 
1/28/2020,$0.00 
1/29/2020,$177.19 
1/30/2020,$27.74 
1/31/2020,$75.79 
2/1/2020,$0.00 
2/2/2020,$0.00 
2/3/2020,$547.61 
2/4/2020,$138.77 
2/5/2020,$189.98 
2/6/2020,$348.00 
2/7/2020,$0.00 
2/8/2020,$192.66 
2/9/2020,$0.00 
2/10/2020,$49.09 
2/11/2020,$318.90 
2/12/2020,$868.18 
2/13/2020,$515.59 
2/14/2020,$282.32 
2/15/2020,$0.00 
2/16/2020,$0.00 
2/17/2020,$782.65 
2/18/2020,$0.00 
2/19/2020,$0.00 
2/20/2020,$0.00 
2/21/2020,$244.44 
2/22/2020,$148.38 
2/23/2020,$0.00 
2/24/2020,$27.74 
2/25/2020,$166.26 
2/26/2020,$338.38 
2/27/2020,$639.41 
2/28/2020,$131.05 
2/29/2020,$357.18 
3/1/2020,$0.00 
3/2/2020,$160.18 
3/3/2020,$22.35 
3/4/2020,$0.00 
3/5/2020,$404.67 
3/6/2020,$115.81 
3/7/2020,$672.75 
3/8/2020,$0.00 
3/9/2020,$845.44 
3/10/2020,$519.42 
3/11/2020,$0.00 
3/12/2020,$226.72 
3/13/2020,$17.01 
3/14/2020,$810.80 
3/15/2020,$0.00 
3/16/2020,$0.00 
3/17/2020,$0.00 
3/18/2020,$0.00 
3/19/2020,$0.00 
3/20/2020,$0.00 
3/21/2020,$0.00 
3/22/2020,$0.00 
3/23/2020,$0.00 
3/24/2020,$0.00 
3/25/2020,$0.00 
3/26/2020,$0.00 
3/27/2020,$0.00 
3/28/2020,$0.00 
3/29/2020,$0.00 
3/30/2020,$0.00 
3/31/2020,$0.00 
4/1/2020,$0.00 
4/2/2020,$0.00 
4/3/2020,$0.00 
4/4/2020,$0.00 
4/5/2020,$0.00 
4/6/2020,$0.00 
4/7/2020,$0.00 
4/8/2020,$0.00 
4/9/2020,$0.00 
4/10/2020,$0.00 
4/11/2020,$0.00 
4/12/2020,$0.00 
4/13/2020,$0.00 
4/14/2020,$0.00 
4/15/2020,$0.00 
4/16/2020,$0.00 
4/17/2020,$0.00 
4/18/2020,$0.00 
4/19/2020,$0.00 
4/20/2020,$0.00 
4/21/2020,$0.00 
4/22/2020,$0.00 
4/23/2020,$0.00 
4/24/2020,$0.00 
4/25/2020,$0.00 
4/26/2020,$0.00 
4/27/2020,$0.00 
4/28/2020,$0.00 
4/29/2020,$0.00 
4/30/2020,$0.00 
5/1/2020,$0.00 
5/2/2020,$0.00 
5/3/2020,$0.00 
5/4/2020,$0.00 
5/5/2020,$0.00 
5/6/2020,$0.00 
5/7/2020,$0.00 
5/8/2020,$0.00 
5/9/2020,$0.00 
5/10/2020,$0.00 
5/11/2020,$0.00 
5/12/2020,$0.00 
5/13/2020,$0.00 
5/14/2020,$0.00 
5/15/2020,$0.00 
5/16/2020,$0.00 
5/17/2020,$0.00 
5/18/2020,$0.00 
5/19/2020,$0.00 
5/20/2020,$0.00 
5/21/2020,$0.00 
5/22/2020,$0.00 
5/23/2020,$0.00 
5/24/2020,$0.00 
5/25/2020,$0.00 
5/26/2020,$0.00 
5/27/2020,$0.00 
5/28/2020,$0.00 
5/29/2020,$234.85 
5/30/2020,$166.79 
5/31/2020,$0.00 
6/1/2020,$86.46 
6/2/2020,$0.00 
6/3/2020,$222.01 
6/4/2020,$4.71 
6/5/2020,$189.98 
6/6/2020,$91.79 
6/7/2020,$0.00 
6/8/2020,$21.35 
6/9/2020,$130.51 
6/10/2020,$105.67 
6/11/2020,$217.75 
6/12/2020,$266.22 
6/13/2020,$302.08 
6/14/2020,$0.00 
6/15/2020,"$1,218.00 "
6/16/2020,$462.77 
6/17/2020,$88.60 
6/18/2020,$679.16 
6/19/2020,$0.00 
6/20/2020,$120.64 
6/21/2020,$0.00 
6/22/2020,$109.95 
6/23/2020,$583.31 
6/24/2020,$312.90 
6/25/2020,$155.82 
6/26/2020,$139.84 
6/27/2020,$749.46 
6/28/2020,$0.00 
6/29/2020,$167.16 
6/30/2020,$115.82 
7/1/2020,$391.77 
7/2/2020,$562.56 
7/3/2020,$384.28 
7/4/2020,$0.00 
7/5/2020,$0.00 
7/6/2020,$687.73 
7/7/2020,$108.89 
7/8/2020,$0.00 
7/9/2020,$427.78 
7/10/2020,$267.93 
7/11/2020,$118.20 
7/12/2020,$0.00 
7/13/2020,$95.00 
7/14/2020,$72.58 
7/15/2020,$243.42 
7/16/2020,$190.68 
7/17/2020,$42.70 
7/18/2020,$251.86 
7/19/2020,$0.00 
7/20/2020,$101.42 
7/21/2020,$219.51 
7/22/2020,$154.79 
7/23/2020,$634.43 
7/24/2020,$356.53 
7/25/2020,$154.78 
7/26/2020,$0.00 
7/27/2020,$186.25 
7/28/2020,$95.00 
7/29/2020,$88.80 
7/30/2020,$490.07 
7/31/2020,$0.00 
8/1/2020,$220.00 
8/2/2020,$0.00 
8/3/2020,$153.52 
