Sales Summary: Gross Sales Displayed by Device,iPad cellutionz
1/1/2019,$0.00 
1/2/2019,$53.08 
1/3/2019,$182.89 
1/4/2019,$0.00 
1/5/2019,$33.08 
1/6/2019,$0.00 
1/7/2019,$220.32 
1/8/2019,$0.00 
1/9/2019,$149.42 
1/10/2019,$128.09 
1/11/2019,$635.15 
1/12/2019,$234.84 
1/13/2019,$0.00 
1/14/2019,$22.41 
1/15/2019,$27.74 
1/16/2019,$81.12 
1/17/2019,$212.01 
1/18/2019,$134.46 
1/19/2019,$242.28 
1/20/2019,$0.00 
1/21/2019,$42.70 
1/22/2019,$32.03 
1/23/2019,$0.00 
1/24/2019,$92.86 
1/25/2019,$0.00 
1/26/2019,$74.71 
1/27/2019,$0.00 
1/28/2019,$192.15 
1/29/2019,$53.38 
1/30/2019,$0.00 
1/31/2019,$85.39 
2/1/2019,$149.45 
2/2/2019,$175.07 
2/3/2019,$0.00 
2/4/2019,$555.10 
2/5/2019,$390.69 
2/6/2019,$49.09 
2/7/2019,$0.00 
2/8/2019,$496.22 
2/9/2019,$107.81 
2/10/2019,$0.00 
2/11/2019,$133.44 
2/12/2019,$235.91 
2/13/2019,$48.04 
2/14/2019,$0.00 
2/15/2019,$96.08 
2/16/2019,$789.95 
2/17/2019,$0.00 
2/18/2019,$183.59 
2/19/2019,$207.49 
2/20/2019,$102.47 
2/21/2019,$68.71 
2/22/2019,$209.20 
2/23/2019,$0.00 
2/24/2019,$0.00 
2/25/2019,$123.81 
2/26/2019,$0.00 
2/27/2019,$147.11 
2/28/2019,$241.23 
3/1/2019,$530.87 
3/2/2019,$242.37 
3/3/2019,$0.00 
3/4/2019,$0.00 
3/5/2019,$0.00 
3/6/2019,$556.15 
3/7/2019,$6.41 
3/8/2019,$96.08 
3/9/2019,$159.29 
3/10/2019,$0.00 
3/11/2019,$466.50 
3/12/2019,$0.00 
3/13/2019,$0.00 
3/14/2019,$185.46 
3/15/2019,$309.58 
3/16/2019,$330.93 
3/17/2019,$0.00 
3/18/2019,$0.00 
3/19/2019,$0.00 
3/20/2019,$0.00 
3/21/2019,$665.05 
3/22/2019,$0.00 
3/23/2019,$138.78 
3/24/2019,$0.00 
3/25/2019,$406.70 
3/26/2019,$129.15 
3/27/2019,$91.79 
3/28/2019,$0.00 
3/29/2019,$288.23 
3/30/2019,$169.73 
3/31/2019,$0.00 
4/1/2019,$456.07 
4/2/2019,$0.00 
4/3/2019,$181.46 
4/4/2019,$0.00 
4/5/2019,$0.00 
4/6/2019,$0.00 
4/7/2019,$0.00 
4/8/2019,$881.73 
4/9/2019,$203.88 
4/10/2019,$181.48 
4/11/2019,$0.00 
4/12/2019,$132.36 
4/13/2019,$453.69 
4/14/2019,$0.00 
4/15/2019,$0.00 
4/16/2019,$467.19 
4/17/2019,$16.01 
4/18/2019,$642.61 
4/19/2019,$110.00 
4/20/2019,$748.52 
4/21/2019,$0.00 
4/22/2019,$513.61 
4/23/2019,$82.17 
4/24/2019,$249.78 
4/25/2019,$0.00 
4/26/2019,$0.00 
4/27/2019,$43.77 
4/28/2019,$0.00 
4/29/2019,$146.24 
4/30/2019,$54.61 
5/1/2019,$187.44 
5/2/2019,$27.74 
5/3/2019,$134.51 
5/4/2019,$53.36 
5/5/2019,$0.00 
5/6/2019,$321.35 
5/7/2019,$179.24 
5/8/2019,$225.23 
5/9/2019,$218.24 
5/10/2019,$6.39 
5/11/2019,$283.94 
5/12/2019,$0.00 
5/13/2019,$354.39 
5/14/2019,$138.78 
5/15/2019,$81.12 
5/16/2019,$69.39 
5/17/2019,$55.50 
5/18/2019,$377.88 
5/19/2019,$0.00 
5/20/2019,$0.00 
5/21/2019,$0.00 
5/22/2019,$75.78 
5/23/2019,$0.00 
5/24/2019,$77.45 
5/25/2019,$0.00 
5/26/2019,$0.00 
5/27/2019,$117.41 
5/28/2019,$396.02 
5/29/2019,$466.48 
5/30/2019,$0.00 
5/31/2019,$55.50 
6/1/2019,$0.00 
6/2/2019,$0.00 
6/3/2019,$0.00 
6/4/2019,$0.00 
6/5/2019,$11.74 
6/6/2019,$0.00 
6/7/2019,$170.79 
6/8/2019,$113.50 
6/9/2019,$0.00 
6/10/2019,$288.96 
6/11/2019,$555.10 
6/12/2019,$0.00 
6/13/2019,$693.86 
6/14/2019,$149.44 
6/15/2019,$437.69 
6/16/2019,$0.00 
6/17/2019,$237.99 
6/18/2019,$310.06 
6/19/2019,$100.25 
6/20/2019,$156.92 
6/21/2019,$293.56 
6/22/2019,$144.11 
6/23/2019,$0.00 
6/24/2019,$177.09 
6/25/2019,$85.40 
6/26/2019,$202.81 
6/27/2019,$135.41 
6/28/2019,$219.88 
6/29/2019,$0.00 
6/30/2019,$0.00 
7/1/2019,$387.95 
7/2/2019,$126.41 
7/3/2019,$138.79 
7/4/2019,$0.00 
7/5/2019,$593.54 
7/6/2019,$55.50 
7/7/2019,$0.00 
7/8/2019,$0.00 
7/9/2019,$152.65 
7/10/2019,$238.03 
7/11/2019,$103.53 
7/12/2019,$0.00 
7/13/2019,$0.00 
7/14/2019,$0.00 
7/15/2019,$0.00 
7/16/2019,$0.00 
7/17/2019,$0.00 
7/18/2019,$0.00 
7/19/2019,$0.00 
7/20/2019,$0.00 
7/21/2019,$0.00 
7/22/2019,$0.00 
7/23/2019,$0.00 
7/24/2019,$0.00 
7/25/2019,$0.00 
7/26/2019,$0.00 
7/27/2019,$0.00 
7/28/2019,$0.00 
7/29/2019,$0.00 
7/30/2019,$0.00 
