Sales Summary: Gross Sales Displayed by Device,iPad cellutionz
1/30/2023,$800.52 
1/31/2023,$150.92 
2/1/2023,"$1,143.20 "
2/2/2023,$338.49 
2/3/2023,$211.81 
2/4/2023,$86.23 
2/5/2023,$0.00 
2/6/2023,$105.64 
2/7/2023,$83.51 
2/8/2023,$494.79 
2/9/2023,$352.55 
2/10/2023,$232.85 
2/11/2023,$0.00 
2/12/2023,$0.00 
2/13/2023,$156.31 
2/14/2023,$378.37 
2/15/2023,$0.00 
2/16/2023,$0.00 
2/17/2023,$56.60 
2/18/2023,$105.64 
2/19/2023,$0.00 
2/20/2023,$0.00 
2/21/2023,$343.09 
2/22/2023,$299.68 
2/23/2023,$361.12 
2/24/2023,$153.65 
2/25/2023,$405.87 
2/26/2023,$0.00 
2/27/2023,$327.39 
2/28/2023,$166.01 
3/1/2023,$112.66 
3/2/2023,$0.00 
3/3/2023,$244.69 
3/4/2023,$116.42 
3/5/2023,$0.00 
3/6/2023,$344.95 
3/7/2023,$171.40 
3/8/2023,$140.14 
3/9/2023,$28.03 
3/10/2023,$0.00 
3/11/2023,$349.27 
3/12/2023,$0.00 
3/13/2023,$171.41 
3/14/2023,$0.00 
3/15/2023,$507.17 
3/16/2023,$401.01 
3/17/2023,$330.86 
3/18/2023,$0.00 
3/19/2023,$0.00 
3/20/2023,$105.64 
3/21/2023,$327.71 
3/22/2023,$390.24 
3/23/2023,$166.98 
3/24/2023,$327.71 
3/25/2023,$294.83 
3/26/2023,$0.00 
3/27/2023,$70.07 
3/28/2023,$180.57 
3/29/2023,$335.80 
3/30/2023,$216.68 
3/31/2023,$528.22 
4/1/2023,$50.00 
4/2/2023,$0.00 
4/3/2023,$105.64 
4/4/2023,$818.20 
4/5/2023,$166.55 
4/6/2023,$105.64 
4/7/2023,$0.00 
4/8/2023,$256.02 
4/9/2023,$0.00 
4/10/2023,$462.46 
4/11/2023,$396.68 
4/12/2023,$67.90 
4/13/2023,$294.29 
4/14/2023,$256.03 
4/15/2023,$119.65 
4/16/2023,$0.00 
4/17/2023,$204.27 
4/18/2023,$129.35 
4/19/2023,$479.69 
4/20/2023,$430.16 
4/21/2023,$0.00 
4/22/2023,$610.76 
4/23/2023,$0.00 
4/24/2023,$162.24 
4/25/2023,$280.82 
4/26/2023,$94.86 
4/27/2023,$189.72 
4/28/2023,$0.00 
4/29/2023,$232.85 
4/30/2023,$0.00 
5/1/2023,$568.65 
5/2/2023,$345.98 
5/3/2023,$139.05 
5/4/2023,$0.00 
5/5/2023,$421.49 
5/6/2023,$413.95 
5/7/2023,$0.00 
5/8/2023,$319.07 
5/9/2023,$0.00 
5/10/2023,$495.48 
5/11/2023,$589.67 
5/12/2023,$181.09 
5/13/2023,$100.25 
5/14/2023,$0.00 
5/15/2023,$0.00 
5/16/2023,$0.00 
5/17/2023,$73.30 
5/18/2023,$190.81 
5/19/2023,$676.97 
5/20/2023,$192.96 
5/21/2023,$0.00 
5/22/2023,$105.64 
5/23/2023,$335.25 
5/24/2023,$0.00 
5/25/2023,$260.87 
5/26/2023,$211.29 
5/27/2023,$0.00 
5/28/2023,$0.00 
5/29/2023,$573.50 
5/30/2023,$0.00 
5/31/2023,$493.17 
6/1/2023,$173.99 
6/2/2023,$339.56 
6/3/2023,$0.00 
6/4/2023,$0.00 
6/5/2023,$295.37 
6/6/2023,$341.72 
6/7/2023,$821.42 
6/8/2023,$100.25 
6/9/2023,$0.00 
6/10/2023,$110.50 
6/11/2023,$0.00 
6/12/2023,$84.08 
6/13/2023,$445.20 
6/14/2023,$434.07 
6/15/2023,$162.77 
6/16/2023,$173.57 
6/17/2023,$587.38 
6/18/2023,$0.00 
6/19/2023,$278.12 
6/20/2023,$178.95 
6/21/2023,"$1,010.05 "
6/22/2023,$459.23 
6/23/2023,$236.08 
6/24/2023,$267.34 
6/25/2023,$0.00 
6/26/2023,$416.09 
6/27/2023,$274.89 
6/28/2023,$0.00 
6/29/2023,$0.00 
6/30/2023,$401.00 
7/1/2023,"$1,276.87 "
7/2/2023,$0.00 
7/3/2023,$216.68 
7/4/2023,$0.00 
7/5/2023,$72.23 
7/6/2023,$222.07 
7/7/2023,$753.51 
7/8/2023,$813.87 
7/9/2023,$0.00 
7/10/2023,$182.21 
7/11/2023,$575.64 
7/12/2023,"$1,396.86 "
