Sales Summary: Gross Sales Displayed by Device,iPad cellutionz
1/1/2018,$0.00 
1/2/2018,$115.27 
1/3/2018,$42.70 
1/4/2018,$245.53 
1/5/2018,$53.43 
1/6/2018,$48.04 
1/7/2018,$0.00 
1/8/2018,$263.85 
1/9/2018,$0.00 
1/10/2018,$0.00 
1/11/2018,$0.00 
1/12/2018,$96.07 
1/13/2018,$469.26 
1/14/2018,$0.00 
1/15/2018,$358.67 
1/16/2018,$0.00 
1/17/2018,$149.44 
1/18/2018,$534.30 
1/19/2018,$6.68 
1/20/2018,$10.68 
1/21/2018,$0.00 
1/22/2018,$442.34 
1/23/2018,$0.00 
1/24/2018,$0.00 
1/25/2018,$0.00 
1/26/2018,$85.00 
1/27/2018,$118.48 
1/28/2018,$0.00 
1/29/2018,$36.74 
1/30/2018,$20.00 
1/31/2018,$0.00 
2/1/2018,$0.00 
2/2/2018,$0.00 
2/3/2018,$0.00 
2/4/2018,$0.00 
2/5/2018,$154.22 
2/6/2018,$0.00 
2/7/2018,$0.00 
2/8/2018,$49.09 
2/9/2018,$49.09 
2/10/2018,$89.39 
2/11/2018,$0.00 
2/12/2018,$0.00 
2/13/2018,$0.00 
2/14/2018,$10.00 
2/15/2018,$17.07 
2/16/2018,$214.55 
2/17/2018,$7.47 
2/18/2018,$0.00 
2/19/2018,$0.00 
2/20/2018,$27.74 
2/21/2018,$301.42 
2/22/2018,$0.00 
2/23/2018,$106.79 
2/24/2018,$0.00 
2/25/2018,$0.00 
2/26/2018,$42.69 
2/27/2018,$69.71 
2/28/2018,$352.25 
3/1/2018,$38.42 
3/2/2018,$0.00 
3/3/2018,$0.00 
3/4/2018,$0.00 
3/5/2018,$0.00 
3/6/2018,$218.10 
3/7/2018,$48.99 
3/8/2018,$143.22 
3/9/2018,$44.09 
3/10/2018,$118.74 
3/11/2018,$0.00 
3/12/2018,$116.33 
3/13/2018,$0.00 
3/14/2018,$7.74 
3/15/2018,$0.00 
3/16/2018,$0.00 
3/17/2018,$614.85 
3/18/2018,$0.00 
3/19/2018,$294.62 
3/20/2018,$203.83 
3/21/2018,$227.74 
3/22/2018,$86.44 
3/23/2018,$17.06 
3/24/2018,$91.79 
3/25/2018,$0.00 
3/26/2018,$225.72 
3/27/2018,$11.73 
3/28/2018,$108.86 
3/29/2018,$0.00 
3/30/2018,$272.21 
3/31/2018,$183.17 
4/1/2018,$0.00 
4/2/2018,$0.00 
4/3/2018,$571.12 
